slug,seed,prompt,filename_prefix
riftforged-sentinel-c01,1101,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, young plated defender at fortress wall",tcg/riftforged/riftforged-sentinel-c01
riftforged-sentinel-c02,1102,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, scout sentinel under light helm, agile defender with scanning monocle on battlement",tcg/riftforged/riftforged-sentinel-c02
riftforged-sentinel-c03,1103,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, heavy guard raising hard-light barrier amid sparks",tcg/riftforged/riftforged-sentinel-c03
riftforged-sentinel-c04,1104,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, fast swordsman with cyan blade in aggressive stance",tcg/riftforged/riftforged-sentinel-c04
riftforged-sentinel-c05,1105,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, battlefield mechanic controlling shield drone and console",tcg/riftforged/riftforged-sentinel-c05
riftforged-sentinel-c06,1106,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, rifle sentinel aiming from bastion ledge with blue tracer light",tcg/riftforged/riftforged-sentinel-c06
riftforged-sentinel-c07,1107,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, plated healer with repair gauntlet and luminous kit",tcg/riftforged/riftforged-sentinel-c07
riftforged-sentinel-c08,1108,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, veteran captain with ornate armor and twin barrier emitters",tcg/riftforged/riftforged-sentinel-c08
riftforged-sentinel-c09,1109,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, giant armored enforcer with shock hammer on cracked floor",tcg/riftforged/riftforged-sentinel-c09
riftforged-sentinel-c10,1110,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, hacker-warrior projecting interference field",tcg/riftforged/riftforged-sentinel-c10
riftforged-sentinel-c11,1111,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, commanding officer giving orders on fortress command deck",tcg/riftforged/riftforged-sentinel-c11
riftforged-sentinel-c12,1112,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, engineer activating electrified wall traps and pylons",tcg/riftforged/riftforged-sentinel-c12
riftforged-sentinel-c13,1113,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, emerging from shield shimmer corridor in ambush stance",tcg/riftforged/riftforged-sentinel-c13
riftforged-sentinel-c14,1114,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, massive armored ram-unit smashing gate with kinetic gauntlet",tcg/riftforged/riftforged-sentinel-c14
