slug,seed,prompt,filename_prefix
chronomancer-c01,5101,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Chronomancer recruit, same elegant face, novice time adept in observatory hall",tcg/chronomancer/chronomancer-c01
chronomancer-c02,5102,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Scout seer, same hero face, quick oracle stepping across floating clock fragments",tcg/chronomancer/chronomancer-c02
chronomancer-c03,5103,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Shielded chrono guard, same hero face within stasis barrier shell",tcg/chronomancer/chronomancer-c03
chronomancer-c04,5104,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Duel striker, same hero face using time-blade slash with afterimages",tcg/chronomancer/chronomancer-c04
chronomancer-c05,5105,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Support scholar, same hero face arranging suspended clock sigils",tcg/chronomancer/chronomancer-c05
chronomancer-c06,5106,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ranged skirmisher, same hero face firing compressed time bolt from ring focus",tcg/chronomancer/chronomancer-c06
chronomancer-c07,5107,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Temporal medic, same hero face restoring ally with rewind glow",tcg/chronomancer/chronomancer-c07
chronomancer-c08,5108,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Elite guard, same hero face with ornate time halo and polished armor",tcg/chronomancer/chronomancer-c08
chronomancer-c09,5109,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Heavy bruiser, same hero face in stasis exo-shell with gravity mace",tcg/chronomancer/chronomancer-c09
chronomancer-c10,5110,"Premium sci-fantasy trading card art, Chronomancer faction, same hero identity on every card, elegant and cryptic face, pale hair with gold-blue glow, refined temporal robes and armor, gold azure and pale violet palette, clock halos and stasis shards, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Disruption specialist, same hero face freezing enemy motion mid-step",tcg/chronomancer/chronomancer-c10
