slug,seed,prompt,filename_prefix
riftforged-sentinel-c19,1119,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, specialized guardian with rune-breaking shield",tcg/riftforged/riftforged-sentinel-c19
riftforged-sentinel-c20,1120,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, duel champion, elite hero with elegant cyan blade and crest armor",tcg/riftforged/riftforged-sentinel-c20
riftforged-sentinel-c21,1121,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, battlefield leader with holo-map projections and battle orders",tcg/riftforged/riftforged-sentinel-c21
riftforged-sentinel-c22,1122,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, tactical defender planting shield mines and beacon traps",tcg/riftforged/riftforged-sentinel-c22
riftforged-sentinel-c23,1123,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, masked marksman on distant fortress tower",tcg/riftforged/riftforged-sentinel-c23
riftforged-sentinel-c24,1124,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, reflected in towering guardian construct with glowing hex plates",tcg/riftforged/riftforged-sentinel-c24
riftforged-sentinel-c25,1125,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, ruthless finisher with heavy plasma halberd",tcg/riftforged/riftforged-sentinel-c25
riftforged-sentinel-c26,1126,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, armored defender creating overlapping shield zones",tcg/riftforged/riftforged-sentinel-c26
riftforged-sentinel-c27,1127,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, sacred sentinel protecting glowing citadel core",tcg/riftforged/riftforged-sentinel-c27
riftforged-sentinel-c28,1128,"Riftforged Sentinel, stern male guardian, short white-silver hair or armored helm, glowing cyan eyes or visor, angular steel armor, hard-light shields, fortress technology, cyan and steel palette, premium sci-fantasy trading card illustration, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, same hero identity on every card, charging armored vanguard with shield-bash trail",tcg/riftforged/riftforged-sentinel-c28
