slug,seed,prompt,filename_prefix
ember-arcanist-c01,3101,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ember Arcanist recruit, same brilliant mage face, novice caster with small ember orb",tcg/ember_arcanist/ember-arcanist-c01
ember-arcanist-c02,3102,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Scout acolyte, same hero face, fast spell runner in glowing library aisle",tcg/ember_arcanist/ember-arcanist-c02
ember-arcanist-c03,3103,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Shielded caster, same hero face with molten ward and rune circle",tcg/ember_arcanist/ember-arcanist-c03
ember-arcanist-c04,3104,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Duel striker, same hero face launching close-range flame blade slash",tcg/ember_arcanist/ember-arcanist-c04
ember-arcanist-c05,3105,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Support scholar, same hero face controlling floating spell tomes",tcg/ember_arcanist/ember-arcanist-c05
ember-arcanist-c06,3106,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ranged skirmisher, same hero face channeling ember bolts from distance",tcg/ember_arcanist/ember-arcanist-c06
ember-arcanist-c07,3107,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ritual medic, same hero face using restorative fire sigils on ally",tcg/ember_arcanist/ember-arcanist-c07
ember-arcanist-c08,3108,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Elite guard, same hero face with ornate rune mantle and staff",tcg/ember_arcanist/ember-arcanist-c08
ember-arcanist-c09,3109,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Heavy bruiser, same hero face in molten exo-armor with lava mace",tcg/ember_arcanist/ember-arcanist-c09
ember-arcanist-c10,3110,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Disruption specialist, same hero face scattering enemy spell circle with teal sparks",tcg/ember_arcanist/ember-arcanist-c10
ember-arcanist-c11,3111,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Tactical captain, same hero face directing chain spells with precise hand motion",tcg/ember_arcanist/ember-arcanist-c11
ember-arcanist-c12,3112,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Hazard manipulator, same hero face igniting runic traps across floor",tcg/ember_arcanist/ember-arcanist-c12
ember-arcanist-c13,3113,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ambush expert, same hero face appearing from smoke and arcane glow",tcg/ember_arcanist/ember-arcanist-c13
ember-arcanist-c14,3114,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Siege breaker, same hero face unleashing concentrated fire cannon blast",tcg/ember_arcanist/ember-arcanist-c14
ember-arcanist-c15,3115,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Banner carrier, same hero face raising flaming academic crest",tcg/ember_arcanist/ember-arcanist-c15
ember-arcanist-c16,3116,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Familiar companion, same hero face beside molten rune familiar",tcg/ember_arcanist/ember-arcanist-c16
ember-arcanist-c17,3117,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Veteran enforcer, same hero face marked with arcane burns and resolve",tcg/ember_arcanist/ember-arcanist-c17
ember-arcanist-c18,3118,"Premium sci-fantasy trading card art, Ember Arcanist faction, same hero identity on every card, brilliant mage face, ember orange and magenta highlights, glowing eyes, elegant arcane robes and molten armor accents, ember and teal palette, runic fire magic, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Phase infantry mage, same hero face stepping through ember portal",tcg/ember_arcanist/ember-arcanist-c18
