slug,seed,prompt,filename_prefix
abyss-revenant-c01,6101,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Abyss Revenant recruit, same tragic revenant face, newly risen warrior in ruined graveyard",tcg/abyss_revenant/abyss-revenant-c01
abyss-revenant-c02,6102,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Scout hunter, same hero face stalking through crimson fog with soul blade",tcg/abyss_revenant/abyss-revenant-c02
abyss-revenant-c03,6103,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Shielded knight, same hero face behind cracked spectral shield",tcg/abyss_revenant/abyss-revenant-c03
abyss-revenant-c04,6104,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Duel striker, same hero face lunging with cursed blade and soul trail",tcg/abyss_revenant/abyss-revenant-c04
abyss-revenant-c05,6105,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Support warden, same hero face commanding soul wisps around relics",tcg/abyss_revenant/abyss-revenant-c05
abyss-revenant-c06,6106,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ranged skirmisher, same hero face firing abyss bolt from ruined archway",tcg/abyss_revenant/abyss-revenant-c06
abyss-revenant-c07,6107,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Grave medic, same hero face using dark ritual to restore ally essence",tcg/abyss_revenant/abyss-revenant-c07
abyss-revenant-c08,6108,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Elite guard, same hero face in ornate shattered armor with necro halo",tcg/abyss_revenant/abyss-revenant-c08
abyss-revenant-c09,6109,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Heavy bruiser, same hero face inside hulking bone-plated revenant form",tcg/abyss_revenant/abyss-revenant-c09
abyss-revenant-c10,6110,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Disruption specialist, same hero face draining enemy aura through spectral chains",tcg/abyss_revenant/abyss-revenant-c10
abyss-revenant-c11,6111,"Premium sci-fantasy trading card art, Abyss Revenant faction, same hero identity on every card, tragic male revenant face, pale skin, long dark hair, crimson-violet glowing eyes, broken black armor with bone details, deep violet crimson and bone palette, spectral soul energy, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Tactical captain, same hero face leading forgotten dead across battlefield",tcg/abyss_revenant/abyss-revenant-c11
