slug,seed,prompt,filename_prefix
ironbound-beastmaster-c01,4101,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ironbound Beastmaster recruit, same rugged male face, young pack handler with iron spear",tcg/ironbound_beastmaster/ironbound-beastmaster-c01
ironbound-beastmaster-c02,4102,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Scout wrangler, same hero face tracking through iron jungle with beast prints",tcg/ironbound_beastmaster/ironbound-beastmaster-c02
ironbound-beastmaster-c03,4103,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Shielded pack guard, same hero face with plated buckler and beast harness",tcg/ironbound_beastmaster/ironbound-beastmaster-c03
ironbound-beastmaster-c04,4104,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Duel striker, same hero face lunging with claw blade beside attack beast",tcg/ironbound_beastmaster/ironbound-beastmaster-c04
ironbound-beastmaster-c05,4105,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Support handler, same hero face controlling mechanical beast reins",tcg/ironbound_beastmaster/ironbound-beastmaster-c05
ironbound-beastmaster-c06,4106,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ranged skirmisher, same hero face throwing hooked chain from foundry ledge",tcg/ironbound_beastmaster/ironbound-beastmaster-c06
ironbound-beastmaster-c07,4107,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Pack medic, same hero face tending wounded beast with forge tools",tcg/ironbound_beastmaster/ironbound-beastmaster-c07
ironbound-beastmaster-c08,4108,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Elite guard, same hero face in decorated brass armor with alpha crest",tcg/ironbound_beastmaster/ironbound-beastmaster-c08
ironbound-beastmaster-c09,4109,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Heavy bruiser, same hero face atop iron-tusk brute charging forward",tcg/ironbound_beastmaster/ironbound-beastmaster-c09
ironbound-beastmaster-c10,4110,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Disruption specialist, same hero face releasing roar beacon into enemy ranks",tcg/ironbound_beastmaster/ironbound-beastmaster-c10
ironbound-beastmaster-c11,4111,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Tactical captain, same hero face directing beasts through battlefield signals",tcg/ironbound_beastmaster/ironbound-beastmaster-c11
ironbound-beastmaster-c12,4112,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Hazard manipulator, same hero face triggering trap pits and claw mines",tcg/ironbound_beastmaster/ironbound-beastmaster-c12
ironbound-beastmaster-c13,4113,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ambush expert, same hero face emerging from brush with stalking machine-cat",tcg/ironbound_beastmaster/ironbound-beastmaster-c13
ironbound-beastmaster-c14,4114,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Siege breaker, same hero face riding armored beast smashing barricade",tcg/ironbound_beastmaster/ironbound-beastmaster-c14
ironbound-beastmaster-c15,4115,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Banner carrier, same hero face holding torn pack standard in war wind",tcg/ironbound_beastmaster/ironbound-beastmaster-c15
ironbound-beastmaster-c16,4116,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Beast companion, same hero face beside snarling engineered wolf",tcg/ironbound_beastmaster/ironbound-beastmaster-c16
ironbound-beastmaster-c17,4117,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Veteran enforcer, same hero face scarred and hardened, alpha presence",tcg/ironbound_beastmaster/ironbound-beastmaster-c17
ironbound-beastmaster-c18,4118,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Phase infantry, same hero face with leap harness crossing ruined gap",tcg/ironbound_beastmaster/ironbound-beastmaster-c18
ironbound-beastmaster-c19,4119,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Anti-magic sentinel, same hero face with null fang collar and breaker spear",tcg/ironbound_beastmaster/ironbound-beastmaster-c19
ironbound-beastmaster-c20,4120,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Duel champion, same hero face, beastmaster hero with dual claw weapons",tcg/ironbound_beastmaster/ironbound-beastmaster-c20
ironbound-beastmaster-c21,4121,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Field commander, same hero face standing above pack in overgrown foundry",tcg/ironbound_beastmaster/ironbound-beastmaster-c21
ironbound-beastmaster-c22,4122,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Trap setter, same hero face placing scent mines and jaw traps",tcg/ironbound_beastmaster/ironbound-beastmaster-c22
ironbound-beastmaster-c23,4123,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Recon sniper, same hero face aiming harpoon launcher through jungle haze",tcg/ironbound_beastmaster/ironbound-beastmaster-c23
ironbound-beastmaster-c24,4124,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Guardian construct, same hero face reflected in giant iron beast core",tcg/ironbound_beastmaster/ironbound-beastmaster-c24
ironbound-beastmaster-c25,4125,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Executioner class, same hero face with brutal chain-axe and finishing stance",tcg/ironbound_beastmaster/ironbound-beastmaster-c25
ironbound-beastmaster-c26,4126,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Area denial unit, same hero face unleashing pack surge across battlefield",tcg/ironbound_beastmaster/ironbound-beastmaster-c26
ironbound-beastmaster-c27,4127,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ritual bodyguard, same hero face guarding primal forge totem",tcg/ironbound_beastmaster/ironbound-beastmaster-c27
ironbound-beastmaster-c28,4128,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Momentum finisher, same hero face and alpha beast bursting through smoke",tcg/ironbound_beastmaster/ironbound-beastmaster-c28
ironbound-beastmaster-c29,4129,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Rare frontline alpha, same hero face on colossal war-beast in red brass armor",tcg/ironbound_beastmaster/ironbound-beastmaster-c29
ironbound-beastmaster-c30,4130,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Rare specialist, same hero face channeling full pack bond network",tcg/ironbound_beastmaster/ironbound-beastmaster-c30
ironbound-beastmaster-c31,4131,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Rare elite duo, same hero face paired with mirrored bonded beast twin",tcg/ironbound_beastmaster/ironbound-beastmaster-c31
ironbound-beastmaster-c32,4132,"Premium sci-fantasy trading card art, Ironbound Beastmaster faction, same hero identity on every card, fierce rugged male face, wild hair and battle scars, brass and iron armor mixed with primal leather, rust red brass and moss palette, engineered beasts and feral power, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Rare lieutenant, same hero face, pack second with command horn and crest",tcg/ironbound_beastmaster/ironbound-beastmaster-c32
