slug,seed,prompt,filename_prefix
void-ranger-c01,2101,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Void Ranger recruit, same sharp female face, agile hunter in ruined corridor",tcg/void_ranger/void-ranger-c01
void-ranger-c02,2102,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Scout stalker, same hero face, light cloak and scanner bow in night canyon",tcg/void_ranger/void-ranger-c02
void-ranger-c03,2103,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Shielded infiltrator, same hero face with phase buckler and stealth stance",tcg/void_ranger/void-ranger-c03
void-ranger-c04,2104,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Duel striker, same hero face, close-combat ranger with phase dagger lunge",tcg/void_ranger/void-ranger-c04
void-ranger-c05,2105,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Support tracker, same hero face, targeting drone and holographic trail marks",tcg/void_ranger/void-ranger-c05
void-ranger-c06,2106,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Ranged skirmisher, same hero face aiming phase rifle from high ledge",tcg/void_ranger/void-ranger-c06
void-ranger-c07,2107,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Field medic, same hero face, compact med-kit and tactical cloak in blue mist",tcg/void_ranger/void-ranger-c07
void-ranger-c08,2108,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Elite hunt captain, same hero face, ornate ranger armor and glowing sightline visor",tcg/void_ranger/void-ranger-c08
void-ranger-c09,2109,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Heavy bruiser, same hero face on powered exo-ranger with void hammer",tcg/void_ranger/void-ranger-c09
void-ranger-c10,2110,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Disruption specialist, same hero face projecting glitch beacon into enemy path",tcg/void_ranger/void-ranger-c10
void-ranger-c11,2111,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Tactical captain, same hero face issuing hunt orders amid dimensional maps",tcg/void_ranger/void-ranger-c11
void-ranger-c12,2112,"Premium sci-fantasy trading card art, Void Ranger faction, same hero identity on every card, sharp female ranger face, dark hair with violet-cyan highlights, piercing neon eyes, sleek tactical armor and cloak, indigo and cyan palette, phase energy, dimensional trails, cinematic lighting, polished digital painting, portrait 3:4, no text, no watermark, Hazard manipulator, same hero face triggering phase mines in dark corridor",tcg/void_ranger/void-ranger-c12
